"","cond","subj","block","trial","stim","resp","rt"
"591","neutral",17,4,1,8,"B",11191
"592","neutral",17,4,2,10,"B",18810
"593","neutral",17,4,3,2,"A",8022
"594","neutral",17,4,4,3,"A",9054
"595","neutral",17,4,5,5,"A",7977
"596","neutral",17,4,6,7,"B",9172
"597","neutral",17,4,7,1,"A",4448
"598","neutral",17,4,8,6,"B",5238
"599","neutral",17,4,9,9,"B",4685
"600","neutral",17,4,10,4,"A",7897
"601","neutral",17,5,1,1,"A",4612
"602","neutral",17,5,2,4,"A",3624
"603","neutral",17,5,3,9,"B",5648
"604","neutral",17,5,4,2,"A",4178
"605","neutral",17,5,5,3,"A",6629
"606","neutral",17,5,6,6,"B",5687
"607","neutral",17,5,7,7,"B",7660
"608","neutral",17,5,8,8,"B",7392
"609","neutral",17,5,9,10,"B",5170
"610","neutral",17,5,10,5,"A",6869
"611","neutral",17,6,1,10,"B",4253
"612","neutral",17,6,2,8,"B",5362
"613","neutral",17,6,3,9,"B",3247
"614","neutral",17,6,4,2,"A",3960
"615","neutral",17,6,5,4,"A",4968
"616","neutral",17,6,6,1,"A",5003
"617","neutral",17,6,7,7,"B",4685
"618","neutral",17,6,8,6,"B",5004
"619","neutral",17,6,9,5,"A",4964
"620","neutral",17,6,10,3,"A",8827
"621","neutral",17,7,1,5,"A",4214
"622","neutral",17,7,2,3,"A",6826
"623","neutral",17,7,3,9,"B",3039
"624","neutral",17,7,4,7,"B",5916
"625","neutral",17,7,5,8,"B",6397
"626","neutral",17,7,6,6,"B",2865
"627","neutral",17,7,7,4,"A",5564
"628","neutral",17,7,8,1,"A",2075
"629","neutral",17,7,9,2,"A",3182
"630","neutral",17,7,10,10,"B",13851
"631","neutral",17,8,1,2,"A",3031
"632","neutral",17,8,2,9,"B",2948
"633","neutral",17,8,3,3,"A",6316
"634","neutral",17,8,4,4,"A",4374
"635","neutral",17,8,5,10,"B",9135
"636","neutral",17,8,6,7,"B",6470
"637","neutral",17,8,7,6,"B",3463
