subj,block,trial,stim,resp,rt
14,5,7,5,A,698
14,5,8,3,A,739
14,5,9,2,B,570
14,5,10,9,B,1019
14,6,1,3,A,1263
14,6,2,6,B,976
14,6,3,1,A,694
14,6,4,2,B,963
14,6,5,5,A,1008
14,6,6,4,A,1200
14,6,7,8,B,835
14,6,8,10,B,830
14,6,9,7,A,701
14,6,10,9,B,618
14,7,1,7,A,1307
14,7,2,9,B,663
14,7,3,5,A,1170
14,7,4,4,A,977
14,7,5,6,B,1252
14,7,6,3,A,2935
14,7,7,8,B,6649
14,7,8,1,A,741
14,7,9,2,B,1132
14,7,10,10,B,1017
14,8,1,9,B,3496
14,8,2,1,A,2768
14,8,3,10,B,2694
14,8,4,2,A,2448
14,8,5,8,B,3409
14,8,6,3,A,2937
14,8,7,4,A,3695
14,8,8,6,B,2021
14,8,9,7,B,2430
14,8,10,5,A,1697
15,1,1,7,B,19114
15,1,2,3,A,11741
15,1,3,8,B,7711
15,1,4,2,A,6310
15,1,5,1,A,5360
15,1,6,9,B,6302
15,1,7,4,A,18517
15,1,8,10,B,7418
15,1,9,5,A,4690
15,1,10,6,B,12830
15,2,1,6,B,10871
15,2,2,10,B,4246
15,2,3,3,A,4851
15,2,4,8,B,9352
15,2,5,2,A,11272
15,2,6,9,B,9635
15,2,7,4,A,8119
15,2,8,1,A,8642
15,2,9,7,B,5680
15,2,10,5,A,6482
15,3,1,10,B,12704
15,3,2,4,A,3565
15,3,3,1,A,7327
15,3,4,8,B,7279
15,3,5,2,A,4965
15,3,6,9,B,8683
15,3,7,7,B,6884
15,3,8,5,A,4211
15,3,9,3,A,11677
15,3,10,6,B,6446
15,4,1,8,B,5624
15,4,2,10,B,5589
15,4,3,5,A,3335
15,4,4,6,B,4525
15,4,5,7,B,5407
15,4,6,4,A,4685
15,4,7,2,A,3604
15,4,8,1,A,3300
15,4,9,3,A,3556
15,4,10,9,B,3607
15,5,1,4,A,6285
15,5,2,8,B,7288
15,5,3,2,A,4083
15,5,4,9,B,9604
15,5,5,10,A,4172
15,5,6,7,B,19256
15,5,7,6,B,3690
15,5,8,3,A,4779
15,5,9,5,A,4242
15,5,10,1,A,5735
15,6,1,4,A,7802
15,6,2,2,A,5767
15,6,3,7,B,5731
15,6,4,1,A,5013
15,6,5,9,B,4652
15,6,6,6,B,5847
15,6,7,8,B,6533
15,6,8,3,A,18106
15,6,9,10,B,10159
15,6,10,5,A,3415
15,7,1,4,A,6168
15,7,2,6,B,4043
15,7,3,8,B,4702
15,7,4,10,B,5126
15,7,5,7,B,6016
15,7,6,3,A,5041
15,7,7,2,A,8559
